[2025-10-23 00:24:01] Regel: sommer | Zeit: 00:24 | Tor: ZU
[2025-10-23 00:25:01] Regel: sommer | Zeit: 00:25 | Tor: ZU → Schließimpuls gesendet
[2025-10-23 00:26:02] Regel: sommer | Zeit: 00:26 | Tor: ZU
[2025-10-23 00:27:01] Regel: sommer | Zeit: 00:27 | Tor: ZU
[2025-10-23 00:28:01] Regel: sommer | Zeit: 00:28 | Tor: ZU
[2025-10-23 00:29:01] Regel: sommer | Zeit: 00:29 | Tor: ZU
[2025-10-23 00:30:01] Regel: sommer | Zeit: 00:30 | Tor: ZU → Schließimpuls gesendet
[2025-10-23 00:31:01] Regel: sommer | Zeit: 00:31 | Tor: ZU
[2025-10-23 00:32:01] Regel: sommer | Zeit: 00:32 | Tor: ZU
[2025-10-23 00:33:01] Regel: sommer | Zeit: 00:33 | Tor: ZU
[2025-10-23 00:34:02] Regel: sommer | Zeit: 00:34 | Tor: ZU
[2025-10-23 00:35:01] Regel: sommer | Zeit: 00:35 | Tor: ZU → Schließimpuls gesendet
[2025-10-23 00:36:01] Regel: sommer | Zeit: 00:36 | Tor: ZU
[2025-10-23 00:37:01] Regel: sommer | Zeit: 00:37 | Tor: ZU
[2025-10-23 00:38:01] Regel: sommer | Zeit: 00:38 | Tor: ZU
[2025-10-23 00:39:01] Regel: sommer | Zeit: 00:39 | Tor: ZU
[2025-10-23 00:40:01] Regel: sommer | Zeit: 00:40 | Tor: ZU → Schließimpuls gesendet
[2025-10-23 00:41:01] Regel: sommer | Zeit: 00:41 | Tor: ZU
[2025-10-23 00:42:01] Regel: sommer | Zeit: 00:42 | Tor: ZU
[2025-10-23 00:43:01] Regel: sommer | Zeit: 00:43 | Tor: ZU
[2025-10-23 00:44:02] Regel: sommer | Zeit: 00:44 | Tor: ZU
[2025-10-23 00:45:01] Regel: sommer | Zeit: 00:45 | Tor: ZU → Schließimpuls gesendet
[2025-10-23 00:46:01] Regel: sommer | Zeit: 00:46 | Tor: ZU
[2025-10-23 00:47:01] Regel: sommer | Zeit: 00:47 | Tor: ZU
[2025-10-23 00:48:01] Regel: sommer | Zeit: 00:48 | Tor: ZU
[2025-10-23 00:49:01] Regel: sommer | Zeit: 00:49 | Tor: ZU
[2025-10-23 00:50:01] Regel: sommer | Zeit: 00:50 | Tor: ZU → Schließimpuls gesendet
[2025-10-23 00:51:01] Regel: sommer | Zeit: 00:51 | Tor: ZU
[2025-10-23 00:52:01] Regel: sommer | Zeit: 00:52 | Tor: ZU
[2025-10-23 00:53:01] Regel: sommer | Zeit: 00:53 | Tor: ZU
[2025-10-23 00:54:02] Regel: sommer | Zeit: 00:54 | Tor: ZU
[2025-10-23 00:55:01] Regel: sommer | Zeit: 00:55 | Tor: ZU → Schließimpuls gesendet
[2025-10-23 00:56:01] Regel: sommer | Zeit: 00:56 | Tor: ZU
[2025-10-23 00:57:01] Regel: sommer | Zeit: 00:57 | Tor: ZU
[2025-10-23 00:58:01] Regel: sommer | Zeit: 00:58 | Tor: ZU
[2025-10-23 00:59:01] Regel: sommer | Zeit: 00:59 | Tor: ZU
[2025-10-23 01:00:02] Regel: sommer | Zeit: 01:00 | Tor: ZU → Schließimpuls gesendet
[2025-10-23 01:01:01] Regel: sommer | Zeit: 01:01 | Tor: ZU
[2025-10-23 01:02:01] Regel: sommer | Zeit: 01:02 | Tor: ZU
[2025-10-23 01:03:02] Regel: sommer | Zeit: 01:03 | Tor: ZU
[2025-10-23 01:04:01] Regel: sommer | Zeit: 01:04 | Tor: ZU
[2025-10-23 01:05:01] Regel: sommer | Zeit: 01:05 | Tor: ZU → Schließimpuls gesendet
[2025-10-23 01:06:01] Regel: sommer | Zeit: 01:06 | Tor: ZU
[2025-10-23 01:07:01] Regel: sommer | Zeit: 01:07 | Tor: ZU
[2025-10-23 01:08:01] Regel: sommer | Zeit: 01:08 | Tor: ZU
[2025-10-23 01:09:01] Regel: sommer | Zeit: 01:09 | Tor: ZU
[2025-10-23 01:10:01] Regel: sommer | Zeit: 01:10 | Tor: ZU → Schließimpuls gesendet
[2025-10-23 01:11:01] Regel: sommer | Zeit: 01:11 | Tor: ZU
[2025-10-23 01:12:02] Regel: sommer | Zeit: 01:12 | Tor: ZU
[2025-10-23 01:13:01] Regel: sommer | Zeit: 01:13 | Tor: ZU
[2025-10-23 01:14:01] Regel: sommer | Zeit: 01:14 | Tor: ZU
[2025-10-23 01:15:01] Regel: sommer | Zeit: 01:15 | Tor: ZU → Schließimpuls gesendet
[2025-10-23 01:16:01] Regel: sommer | Zeit: 01:16 | Tor: ZU
[2025-10-23 01:17:01] Regel: sommer | Zeit: 01:17 | Tor: ZU
[2025-10-23 01:18:01] Regel: sommer | Zeit: 01:18 | Tor: ZU
[2025-10-23 01:19:01] Regel: sommer | Zeit: 01:19 | Tor: ZU
[2025-10-23 01:20:01] Regel: sommer | Zeit: 01:20 | Tor: ZU → Schließimpuls gesendet
[2025-10-23 01:21:01] Regel: sommer | Zeit: 01:21 | Tor: ZU
[2025-10-23 01:22:02] Regel: sommer | Zeit: 01:22 | Tor: ZU
[2025-10-23 01:23:01] Regel: sommer | Zeit: 01:23 | Tor: ZU
[2025-10-23 01:24:01] Regel: sommer | Zeit: 01:24 | Tor: ZU
[2025-10-23 01:25:01] Regel: sommer | Zeit: 01:25 | Tor: ZU → Schließimpuls gesendet
[2025-10-23 01:26:01] Regel: sommer | Zeit: 01:26 | Tor: ZU
[2025-10-23 01:27:01] Regel: sommer | Zeit: 01:27 | Tor: ZU
[2025-10-23 01:28:01] Regel: sommer | Zeit: 01:28 | Tor: ZU
[2025-10-23 01:29:01] Regel: sommer | Zeit: 01:29 | Tor: ZU
[2025-10-23 01:30:01] Regel: sommer | Zeit: 01:30 | Tor: ZU → Schließimpuls gesendet
[2025-10-23 01:31:01] Regel: sommer | Zeit: 01:31 | Tor: ZU
[2025-10-23 01:32:02] Regel: sommer | Zeit: 01:32 | Tor: ZU
